service_type,service_name,mean,median,std,min,max
DepthEstimation,DPT Hybrid Midas,1.3016840481758118,1.265357494354245,0.12388297087486892,1.13381218910217,1.73580813407898
ImageClassification,Google mobilenet v2,0.04165405273437507,0.040256142616272,0.007730443884552444,0.033215761184692,0.096062421798706
ImageClassification,ViT MINC 2500,0.19555146217346192,0.17824864387512201,0.034816240482073234,0.147996664047241,0.270576000213623
ImageSegmentation,DETR Resnet 50 Panoptic,4.358456690311432,4.19691455364227,0.5462251164919678,3.74785566329956,6.3907687664032
ImageToText,Kosmos v2,7.27303918838501,7.296689629554745,0.5618434733724679,5.90918064117432,8.72953224182129
ObjectDetection,DETR Resnet 50,1.3267762398719793,1.3109878301620501,0.12520484383382383,0.693839073181152,1.63090252876282
ObjectDetection,YOLOs Tiny,0.3910128355026245,0.383986592292786,0.04984929910934054,0.304886817932129,0.578683376312256
PromptedImageClassification,CLIP ViT,1.0524962711334231,1.105000734329225,0.20978972325528936,0.348090410232544,1.390460729599
PromptedObjectDetection,OWL v2,10.664350492954256,10.207463860511801,1.3272137310463492,9.56305408477783,16.0492403507233
VideoClassification,Timesformer HR k600,24.577533888816834,23.562988638877847,2.835465728263545,20.9639348983765,35.8367352485657
