"service_name","service_type","call_1","call_2","call_3","call_4","call_5","call_6","call_7","call_8","call_9","call_10","call_11","call_12","call_13","call_14","call_15","call_16","call_17","call_18","call_19","call_20","call_21","call_22","call_23","call_24","call_25","call_26","call_27","call_28","call_29","call_30","call_31","call_32","call_33","call_34","call_35","call_36","call_37","call_38","call_39","call_40","call_41","call_42","call_43","call_44","call_45","call_46","call_47","call_48","call_49","call_50","call_51","call_52","call_53","call_54","call_55","call_56","call_57","call_58","call_59","call_60","call_61","call_62","call_63","call_64","call_65","call_66","call_67","call_68","call_69","call_70","call_71","call_72","call_73","call_74","call_75","call_76","call_77","call_78","call_79","call_80","call_81","call_82","call_83","call_84","call_85","call_86","call_87","call_88","call_89","call_90","call_91","call_92","call_93","call_94","call_95","call_96","call_97","call_98","call_99","call_100"
"ObjectDetection","DETR Resnet 50",0.693839073181152,0.906984806060791,1.13675618171692,1.48334360122681,1.37534284591675,1.43585586547852,1.29251456260681,1.22908926010132,1.30282282829285,1.31160426139832,1.27837014198303,1.337965965271,1.36359167098999,1.33084607124329,1.46486878395081,1.26911497116089,1.37339019775391,1.35724449157715,1.23017406463623,1.45719122886658,1.24506163597107,1.38042116165161,1.40080571174622,1.25014877319336,1.36379837989807,1.29574918746948,1.22472238540649,1.3304135799408,1.28085732460022,1.22535705566406,1.30650782585144,1.2199695110321,1.21344017982483,1.23032212257385,1.49606704711914,1.42068195343018,1.52310013771057,1.42717576026917,1.55373573303223,1.27383613586426,1.40188550949097,1.23929786682129,1.52399826049805,1.3012900352478,1.35718894004822,1.28999376296997,1.63090252876282,1.28775382041931,1.28837418556213,1.42247676849365,1.54918336868286,1.30076169967651,1.38610816001892,1.22400879859924,1.29168033599854,1.36408257484436,1.30359721183777,1.36217975616455,1.31037139892578,1.26065278053284,1.26989078521729,1.35416078567505,1.2572979927063,1.24636960029602,1.36068654060364,1.30619120597839,1.30128931999207,1.31269574165344,1.38845419883728,1.56119322776794,1.42288899421692,1.36390805244446,1.23783087730408,1.29431891441345,1.22546076774597,1.44814419746399,1.26255798339844,1.27196264266968,1.23578953742981,1.22562170028687,1.53394746780396,1.51429963111877,1.40290832519531,1.37444806098938,1.2779335975647,1.37897992134094,1.5634343624115,1.36725449562073,1.26295614242554,1.32286906242371,1.38370418548584,1.32236623764038,1.27296566963196,1.16872119903564,1.38036966323853,1.12993788719177,1.38437342643738,1.27020764350891,1.3021342754364,1.32822942733765
"ImageClassification","Google mobilenet v2 1.1.0.224",0.074567794799805,0.053224325180054,0.04438328742981,0.056608200073242,0.048038005828858,0.03675103187561,0.046932458877564,0.041074991226196,0.040375232696533,0.042662858963013,0.044543981552124,0.036452293395996,0.041576862335205,0.037885427474976,0.041728734970093,0.049577236175537,0.096062421798706,0.038262605667114,0.040059328079224,0.036432981491089,0.042371511459351,0.040646553039551,0.040137052536011,0.039702892303467,0.044801950454712,0.048956871032715,0.044971227645874,0.045859575271607,0.045709848403931,0.038885831832886,0.035112142562866,0.041023254394531,0.037965297698975,0.038996696472168,0.040488958358765,0.036675453186035,0.039280891418457,0.03601598739624,0.037211179733276,0.036041259765625,0.039735078811646,0.034960746765137,0.036896467208862,0.040643453598023,0.042257785797119,0.038252592086792,0.034893989562988,0.035692930221558,0.038020372390747,0.040033578872681,0.038123607635498,0.042016744613648,0.036151647567749,0.033215761184692,0.039090156555176,0.037484645843506,0.03376030921936,0.039814949035645,0.037012338638306,0.037919998168945,0.039431571960449,0.039095640182495,0.034420013427734,0.035780906677246,0.039830684661865,0.041624069213867,0.038502216339111,0.049988985061646,0.042580604553223,0.043408870697022,0.042417049407959,0.040938138961792,0.041878938674927,0.042321920394898,0.05032229423523,0.043591737747192,0.038499116897583,0.039089202880859,0.035822629928589,0.041614294052124,0.04052734375,0.041126728057861,0.045373916625977,0.052686452865601,0.041799306869507,0.043416023254395,0.03781533241272,0.042566299438477,0.041736125946045,0.040440797805786,0.041677713394165,0.040105581283569,0.038067579269409,0.040767669677734,0.0400390625,0.039434909820557,0.043663501739502,0.036527633666992,0.039210557937622,0.043232202529907
"DepthEstimation","DPT Hybrid Midas",1.19065022468567,1.51064276695251,1.15584802627563,1.20101141929626,1.21234965324402,1.35901832580566,1.46753883361816,1.3644802570343,1.60731840133667,1.24025368690491,1.26248598098755,1.25034165382385,1.26836895942688,1.16155242919922,1.37920737266541,1.23741030693054,1.18939924240112,1.19205212593079,1.164790391922,1.25164747238159,1.19492721557617,1.17509746551514,1.28744506835938,1.5461151599884,1.41719436645508,1.29270815849304,1.26541709899902,1.22262358665466,1.23657155036926,1.1818859577179,1.19659328460693,1.22446274757385,1.1992301940918,1.13381218910217,1.29190826416016,1.23109269142151,1.15418744087219,1.14505958557129,1.21997356414795,1.29533052444458,1.22291326522827,1.22526144981384,1.24183297157288,1.29464912414551,1.25341200828552,1.17853856086731,1.2160952091217,1.37446808815002,1.23352313041687,1.42529296875,1.2973301410675,1.16812992095947,1.19099903106689,1.3896119594574,1.16459918022156,1.28037643432617,1.33987021446228,1.19331288337708,1.34194111824036,1.61759161949158,1.2579619884491,1.34561991691589,1.24111557006836,1.29093337059021,1.48266172409058,1.38423848152161,1.2280809879303,1.36481332778931,1.32794594764709,1.33476495742798,1.67704606056213,1.40266823768616,1.73580813407898,1.17259192466736,1.29728078842163,1.40260648727417,1.49275255203247,1.56246900558472,1.2932116985321,1.31303811073303,1.21632385253906,1.16777896881104,1.31597065925598,1.27973175048828,1.45983600616455,1.25922465324402,1.37181377410889,1.30350637435913,1.47698473930359,1.34179258346558,1.25014209747314,1.47186660766602,1.20171809196472,1.24869227409363,1.24325442314148,1.26529788970947,1.31098604202271,1.50937247276306,1.42054104804993,1.21820831298828
"ObjectDetection","YOLOs Tiny",0.491056680679321,0.53453540802002,0.453262805938721,0.355015754699707,0.411482095718384,0.455626726150513,0.452732801437378,0.362400054931641,0.35635781288147,0.340206384658813,0.368828773498535,0.422037124633789,0.371793985366821,0.362729787826538,0.333418130874634,0.374380111694336,0.353984117507935,0.348504066467285,0.447648286819458,0.409371376037598,0.334094762802124,0.365602254867554,0.334269762039185,0.444552898406982,0.393964529037476,0.34535551071167,0.399665117263794,0.435803174972534,0.4475998878479,0.338467359542847,0.436235189437866,0.304886817932129,0.379329681396484,0.437953948974609,0.325792789459229,0.425714731216431,0.37547755241394,0.439605951309204,0.400725603103638,0.37600827217102,0.350894689559936,0.354960203170776,0.367537021636963,0.333859920501709,0.321947574615479,0.423258066177368,0.315739631652832,0.3816819190979,0.414878368377686,0.408514976501465,0.355514764785767,0.310206890106201,0.346226692199707,0.47921347618103,0.417264938354492,0.458336591720581,0.41481876373291,0.374750852584839,0.404125213623047,0.466657400131226,0.404144763946533,0.370560646057129,0.433231592178345,0.31417965888977,0.417304039001465,0.401526689529419,0.343670845031738,0.434314250946045,0.578683376312256,0.415724039077759,0.393264532089233,0.376005411148071,0.397009611129761,0.351873874664307,0.400930643081665,0.400156736373901,0.410536289215088,0.352383613586426,0.449710130691528,0.338423490524292,0.327242136001587,0.460335969924927,0.385316133499146,0.406723737716675,0.440440177917481,0.414085149765015,0.382657051086426,0.346352577209473,0.348444700241089,0.380928993225098,0.333922624588013,0.406195402145386,0.333637714385986,0.420311689376831,0.328373193740845,0.430809259414673,0.451204061508179,0.363697290420532,0.357288599014282,0.352816820144653
"ImageSegmentation","DETR Resnet 50 Panoptic",4.11346769332886,3.84407591819763,4.0779402256012,3.96246838569641,3.91983151435852,4.01373171806335,4.05376935005188,4.22940039634705,3.85785341262817,3.81529545783997,4.13027310371399,3.99714207649231,4.35604953765869,4.28453063964844,4.33714437484741,4.37070751190186,4.50868105888367,5.32542872428894,4.49529695510864,4.27409482002258,5.87751650810242,4.72150158882141,5.51232361793518,6.3907687664032,6.05759763717651,5.22681450843811,5.5264585018158,4.49470853805542,4.75133728981018,4.7890202999115,4.13826584815979,4.13716459274292,4.01570391654968,4.14485335350037,3.97781157493591,4.14856791496277,4.42205452919006,3.92671608924866,4.06534838676453,3.99956893920898,3.94540214538574,3.98945307731628,3.98826622962952,3.87171220779419,3.79196977615356,3.8450186252594,4.57281088829041,3.82311058044434,3.81398487091064,3.84600901603699,4.25246405601501,4.80836153030396,5.65113568305969,5.46411061286926,5.63403296470642,4.67999911308289,4.7698700428009,4.71969795227051,4.60952520370483,4.70433592796326,4.5072615146637,4.0391218662262,4.11548209190369,4.55939817428589,4.09843707084656,4.06610631942749,4.55274081230164,4.08633351325989,3.98628401756287,3.89544057846069,3.96732258796692,3.74785566329956,3.86803603172302,3.95989513397217,4.01899814605713,3.8399555683136,3.77496933937073,3.97779941558838,4.32565021514893,3.91944813728333,3.96515774726868,4.32104277610779,4.45270609855652,4.24356269836426,4.8985025882721,4.24525713920593,4.31409478187561,4.12820720672607,4.20514631271362,4.18868279457092,4.22532367706299,3.91766500473022,4.53320932388306,4.54609632492065,5.56106448173523,4.57488393783569,4.30753111839294,4.32059526443481,4.13936805725098,4.37847971916199
"PromptedObjectDetection","OWL v2",10.1149854660034,9.8270046710968,10.7596108913422,9.8734290599823,10.1349320411682,11.866824388504,12.330625295639,16.0492403507233,15.624312877655,15.6727204322815,13.9236850738525,13.8600792884827,13.656231880188,13.2929780483246,13.0793006420136,14.5863392353058,11.4419639110565,11.01997590065,10.9167778491974,10.9865529537201,10.3375227451324,10.6563191413879,10.211850643158,10.3507897853851,10.0187363624573,9.74488615989685,10.323023557663,10.7436254024506,11.0402352809906,10.5491652488708,10.4188833236694,10.340170621872,10.8607304096222,10.8366315364838,10.5030033588409,10.2885296344757,9.99742722511292,10.7104206085205,11.5512688159943,10.0896623134613,10.0817813873291,9.58910393714905,10.4217360019684,9.99807262420654,9.89529943466187,9.87239074707031,10.314079284668,10.1012544631958,9.75624084472656,10.0668387413025,9.90882778167725,10.414425611496,10.7485601902008,10.1713974475861,9.87674713134766,9.9042501449585,9.93411827087402,9.81101822853088,9.57231283187866,9.56305408477783,9.85450434684753,10.0021889209747,9.93758821487427,10.1447348594666,9.97863507270813,9.79479289054871,9.97193574905396,10.0365829467773,10.4892764091492,11.4571406841278,9.90228700637817,10.0871472358704,10.0936808586121,10.7510852813721,10.6335685253143,10.2030770778656,10.2880475521088,9.7924234867096,10.0543148517609,9.80135536193848,10.784768819809,9.78876209259033,11.0476541519165,10.8171117305756,11.3121230602264,10.0131850242615,10.2762892246246,10.2429127693176,9.84456467628479,10.2016339302063,10.0548901557922,9.97110795974731,10.3161554336548,9.6012966632843,9.81995606422424,9.60687637329102,9.83792281150818,10.2598969936371,10.6845107078552,10.0871016979218
"ImageToText","Kosmos v2",7.32992053031921,7.15149283409119,7.79341459274292,7.4182665348053,7.21175909042358,7.26867747306824,7.09192967414856,7.72310614585876,7.78337931632996,7.29090595245361,7.20425295829773,7.17008590698242,8.21047592163086,8.49068951606751,7.5560348033905,7.70214700698853,6.95232105255127,7.23077201843262,7.25713562965393,7.48468112945557,7.43072652816772,7.63842701911926,7.54568529129028,7.1611008644104,7.53724980354309,7.61407113075256,7.30247330665588,7.14446473121643,7.37553024291992,7.68417716026306,7.82926082611084,7.09206581115723,7.16357088088989,7.58279466629028,7.34049916267395,6.92430758476257,7.4388313293457,7.2397677898407,7.49128675460815,7.40854954719543,7.2495858669281,8.09926676750183,7.32581233978272,7.56478047370911,7.48774290084839,7.06894659996033,7.52307200431824,7.7835373878479,8.07667994499207,7.78390002250671,7.45792841911316,7.58937168121338,8.3792896270752,8.16658401489258,8.37208795547485,8.72953224182129,7.20483493804932,7.14885878562927,7.25507211685181,7.4151623249054,7.17942667007446,7.42925071716309,7.28197407722473,7.90853404998779,7.79405212402344,7.12306237220764,6.7853434085846,6.94738864898682,7.1027045249939,6.92939758300781,7.31044912338257,7.51282596588135,7.18214058876038,7.25421261787415,6.93364095687866,7.49677896499634,7.22305822372437,7.09932947158814,7.59845066070557,7.2675359249115,7.5083920955658,7.02495956420898,7.55792284011841,7.1007091999054,7.40488886833191,7.43443775177002,6.84113597869873,6.27169036865234,6.73388171195984,6.2936737537384,5.99728870391846,6.06359052658081,6.16461324691772,5.95981526374817,6.03742933273315,5.90918064117432,6.02612996101379,5.92439675331116,6.39557576179504,6.34631490707397
"ImageClassification","ViT MINC 2500",0.211103677749634,0.192461013793945,0.164707183837891,0.171050310134888,0.211916923522949,0.248286247253418,0.177402019500732,0.236047744750977,0.154382705688477,0.205213308334351,0.16498064994812,0.204307794570923,0.166613101959229,0.175198554992676,0.207847356796265,0.227757930755615,0.160274028778076,0.246678352355957,0.247990369796753,0.177490234375,0.22172737121582,0.156496047973633,0.263970851898193,0.235589265823364,0.227358818054199,0.177983999252319,0.166367530822754,0.244601488113403,0.193420886993408,0.163947343826294,0.164988517761231,0.167667865753174,0.170936584472656,0.174616575241089,0.183504343032837,0.2367262840271,0.238688468933105,0.155245304107666,0.16208028793335,0.253342390060425,0.173875570297241,0.161477565765381,0.166021347045898,0.16858172416687,0.214045524597168,0.17945122718811,0.164050340652466,0.2151198387146,0.245084524154663,0.231557846069336,0.220633268356323,0.147996664047241,0.15947151184082,0.167541742324829,0.25114631652832,0.173213005065918,0.173139095306396,0.219428777694702,0.163158416748047,0.226742506027222,0.160894632339478,0.224398612976074,0.250549793243408,0.230201244354248,0.149235486984253,0.235449075698853,0.229736089706421,0.197641134262085,0.230206966400146,0.206903457641602,0.150925159454346,0.162453174591064,0.270576000213623,0.157141923904419,0.240293502807617,0.231073141098022,0.157734632492065,0.255157709121704,0.200114727020264,0.15842342376709,0.178513288497925,0.168669939041138,0.168812274932861,0.173169136047363,0.170021533966064,0.173625469207764,0.248757600784302,0.235829830169678,0.150128602981567,0.237958431243896,0.19403076171875,0.158127307891846,0.164826393127441,0.168337106704712,0.214987277984619,0.157588243484497,0.166951179504395,0.169275999069214,0.174340963363647,0.249378442764282
"PromptedImageClassification","CLIP ViT",0.405796527862549,0.527598142623901,0.435551881790161,0.46016526222229,0.348090410232544,0.409542798995972,1.21432733535767,0.992554903030396,1.08657312393188,1.29352712631226,0.903432846069336,1.3208019733429,0.928280353546143,1.24857497215271,1.35319399833679,0.978814840316772,1.16976070404053,0.998481512069702,0.903641223907471,1.18035507202148,0.855451583862305,1.21374154090881,0.859860420227051,1.01551580429077,0.950893640518188,1.16857695579529,0.901829242706299,0.992640972137451,1.06280899047852,1.22013473510742,1.28368163108826,1.15073943138123,1.12011480331421,1.16549777984619,1.25864410400391,0.89055323600769,1.23768258094788,1.16898918151855,0.875379085540772,1.34458351135254,1.1907913684845,1.15276217460632,0.921196937561035,1.35310411453247,1.20899868011475,1.27624988555908,1.24688196182251,1.2050895690918,1.23280620574951,0.992820024490356,1.19451665878296,1.15482926368713,1.15161919593811,0.900058507919312,0.90837836265564,1.06353664398193,0.943454504013062,1.13388133049011,1.19554543495178,1.23411273956299,1.14074420928955,0.902140617370606,1.23526978492737,1.01806640625,1.390460729599,1.05085182189941,1.25239753723145,1.19390487670898,0.868206739425659,0.963160991668701,1.06724715232849,0.8597092628479,1.00690698623657,0.875759840011597,0.943149328231812,1.18946599960327,1.06062483787537,0.953424453735352,1.11543846130371,1.16541886329651,0.921144723892212,0.948445081710815,0.981769561767578,0.935298442840576,1.03672361373901,1.23521399497986,1.19085478782654,1.1900007724762,1.13559985160828,0.963845491409302,1.13665699958801,1.15388894081116,1.16733312606812,0.860536575317383,1.20759105682373,1.09456300735474,0.995789527893066,0.957036972045898,1.18718791007996,1.14077997207642
"VideoClassification","Timesformer HR k600",22.4977898597717,24.5503737926483,20.9639348983765,22.6181848049164,22.0357382297516,24.8098180294037,24.6993584632874,24.7145457267761,23.0078206062317,22.9358742237091,22.8510403633118,22.0723230838776,22.147424697876,23.1398322582245,23.0670785903931,24.0040278434753,22.5519394874573,22.9470255374908,25.8386490345001,32.9551758766174,26.2998969554901,23.9399755001068,24.5612852573395,34.5373575687408,35.8367352485657,30.7114822864532,29.243479013443,31.7660548686981,29.7068576812744,29.5827934741974,27.7601387500763,30.8218076229095,30.4844355583191,27.967175245285,29.6426124572754,29.2100732326508,25.2707507610321,21.9994184970856,23.09441614151,21.8711276054382,23.3182487487793,22.3403248786926,25.8961937427521,24.1146578788757,23.5573263168335,23.7445871829987,24.3348121643066,24.7038841247559,25.2843065261841,23.2095518112183,24.1237676143646,24.6049811840057,24.6463913917542,23.1978058815002,23.1000928878784,23.2819254398346,23.4466845989227,23.2476189136505,24.2126779556274,24.4045212268829,23.6843309402466,24.8082232475281,23.376565694809,22.7989640235901,22.7217426300049,23.5686509609222,24.8880829811096,23.1951494216919,23.4835431575775,23.2591857910156,22.9304921627045,23.4728438854218,25.0128717422485,23.260880947113,26.4057731628418,24.3301799297333,24.5898530483246,25.9113326072693,22.6214075088501,22.6844289302826,25.4136261940002,22.3302965164185,23.3844885826111,24.1104578971863,24.1853640079498,21.7952778339386,21.8010032176971,22.4690301418304,24.081759929657,22.1487262248993,22.3451359272003,22.139041185379,22.7756681442261,23.4656317234039,24.3631660938263,22.7613234519958,22.982008934021,24.0590460300446,23.5314650535584,23.1201794147491
